,US_GDP,US_PCE,US_CPI,US_CPI2,US_IP,EA_GDP,EA_PCE,EA_HICP,EA_IP,CH_GDP,CH_PCE,CH_CPI,CH_IP,UK_GDP,UK_PCE,UK_CPI,UK_CPI2,UK_IP,EUR_USD,USD_CNY,GBP_USD,GBP_CNY,EUR_CNY,EUR_GBP,USD_EUR,CNY_USD,USD_GBP,CNY_GBP,CNY_EUR,GBP_EUR
1985-02-01,,,3.6062378167641462,4.860092398,54.6871,,,,,,,,,,,5.395821,6.192958,67.29858,,2.8347,1.0931,,,,,0.35277101633329805,0.9148293843198244,,,
1985-03-01,,,3.790087463556846,4.95037523,54.7673,,,,,,,,,,,6.088751,6.836603,69.089,,2.8533,1.1253,,,,,0.35047138401149547,0.888651915044877,,,
1985-04-01,8474.787,5370.011,3.581800580832528,4.742850309,54.6467,,,,68.3382545829592,,,,,224709.1,,6.949566,7.76518,69.72091,,2.848,1.2377,,,,,0.351123595505618,0.8079502302658156,,,
1985-05-01,,,3.5748792270531515,5.02421107,54.7396,,,,,,,,,,,7.003049000000001,7.923303999999999,70.2475,,2.8556,1.2483,,,,,0.3501891021151422,0.8010894816951054,,,
1985-06-01,,,3.6644165863066513,5.042571195,54.711,,,,,,,,,,,6.9536050000000005,7.940123,71.82728,,2.8693,1.2808,,,,,0.3485170599100826,0.7807620237351656,,,
1985-07-01,8604.22,5472.014,3.458213256484166,4.934458147,54.4365,,,,68.8938759615142,,,,,224905.3,,6.85084,8.01825,69.089,,2.8809,1.3807,,,,,0.34711374917560484,0.7242702976750923,,,
1985-08-01,,,3.3524904214559337,4.931448285,54.6121,,,,,,,,,,,6.190601,6.908083,69.72091,,2.9093,1.3841,,,,,0.34372529474444025,0.7224911494834187,,,
1985-09-01,,,3.2473734479465,4.772256068,54.8147,,,,,,,,,,,5.870531,6.285475,70.87941,,2.9722,1.3642,,,,,0.3364511136531862,0.7330303474563846,,,
1985-10-01,8668.188,5483.866,3.2350142721217834,4.87735108,54.6228,,,,69.7193705810817,,,,,225448.8,,5.43997,6.116699,69.51026999999999,,3.0782,1.4215,,,,,0.3248651809499058,0.7034822370735139,,,
1985-11-01,,,3.5137701804368593,5.134382326,54.8123,,,,,,,,,,,5.446579,6.115874,70.2475,,3.2086,1.4396,,,,,0.3116624072804338,0.6946373992775771,,,
1985-12-01,,,3.791469194312791,5.015425836,55.3553,,,,,,,,,,,5.644866,6.410534999999999,68.45708,,3.2095,1.4447,,,,,0.31157501168406293,0.6921852287672181,,,
1986-01-01,8749.127,5531.807,3.9735099337748325,5.280952944,55.6453,,,,69.8876444843012,2780601.0,3134577.12702869,,,228005.5,,5.482456,6.262283,69.29963000000001,,3.2095,1.4244,,,,,0.31157501168406293,0.7020499859590003,,,
1986-02-01,,,3.19849482596426,5.109255446,55.2634,,,,,,,,,,,5.114254,5.918659,69.82623000000001,,3.2152,1.4297,,,,,0.31102264244837025,0.6994474365251452,,,
1986-03-01,,,2.1535580524344455,5.212476107,54.8728,,,,,,,,,,,4.202586,5.381162000000001,70.45814,,3.2202,1.4674,,,,,0.310539718029936,0.6814774430966335,,,
1986-04-01,8788.524,5592.08,1.5887850467289688,5.352667382,54.935,,,,70.2749919596367,,,,,229697.6,,3.059072,4.334307,71.40601,,3.2143,1.4985,,,,,0.3111097284012071,0.6673340006673341,,,
1986-05-01,,,1.679104477611948,5.024657147,55.0399,,,,,,,,,,,2.731092,4.155328,70.14218000000001,,3.2014,1.5211,,,,,0.3123633410382957,0.657418973111564,,,
1986-06-01,,,1.7674418604651132,5.026885723,54.826,,,,,,,,,,,2.515723,3.71476,71.19537,,3.2115,1.5085,,,,,0.31138097462245057,0.6629101756711966,,,
1986-07-01,8872.601,5690.971,1.671309192200554,4.960427947,55.167,,,,70.417866028408,,,,,230743.0,,2.415966,3.543438,70.56345,,3.6435,1.5071,,,,,0.2744613695622341,0.6635259770420011,,,
1986-08-01,,,1.575532900834098,4.823456322,55.0726,,,,,,,,,,,2.408377,3.4966440000000003,70.56345,,3.7129,1.4861,,,,,0.2693312505049961,0.6729022273063724,,,
1986-09-01,,,1.757631822386685,4.947499067,55.2237,,,,,,,,,,,3.039832,4.045975,72.45919,,3.715,1.4698,,,,,0.2691790040376851,0.6803646754660498,,,
1986-10-01,8920.193,5725.812,1.5668202764977046,4.881662479,55.4589,,,,70.313091711309,,,,,234865.1,,3.033473,3.948733,72.56451,,3.7257,1.4264,,,,,0.26840593713932953,0.7010656197420079,,,
1986-11-01,,,1.2844036697247763,4.575152807,55.6763,,,,,,,,,,,3.54536,4.704752,72.35387,,3.7314,1.4238,,,,,0.2679959264619178,0.7023458350891979,,,
1986-12-01,,,1.187214611872145,4.654910621,56.2078,,,,,,,,,,,3.75,4.960274,72.56451,,3.7314,1.4393,,,,,0.2679959264619178,0.6947821857847565,,,
1987-01-01,8986.367,5731.226,1.364877161055511,4.492110038,55.9911,,,,70.5099404282828,3008488.0,3364333.50867283,5.1,,237048.3,,3.950104,5.041305,71.19537,,3.7314,1.5054,,,,,0.2679959264619178,0.6642752756742394,,,
1987-02-01,,,1.9143117593436676,4.45173175,56.7373,,,,,,,5.4,,,,3.933748000000001,4.765267,73.51236999999999,,3.7314,1.528,,,,,0.2679959264619178,0.6544502617801047,,,
1987-03-01,,,2.8414298808432603,4.276017854,56.8136,,,,,,,5.8,,,,4.033092,4.733275,73.19641999999999,,3.7314,1.5923,,,,,0.2679959264619178,0.6280223575959304,,,
1987-04-01,9083.256,5809.376,3.679852805887762,4.371203735,57.185,,,,71.1417613101825,,,6.7,,240525.6,,4.19652,4.71186,72.56451,,3.7314,1.6313,,,,,0.2679959264619178,0.6130080304051984,,,
1987-05-01,,,3.669724770642202,4.429512321,57.5424,,,,,,,7.6,,,,4.192229,4.464556,73.93365,,3.7314,1.6666,,,,,0.2679959264619178,0.6000240009600384,,,
1987-06-01,,,3.7477148080438782,4.187984457,57.8502,,,,,,,7.8,,,,4.192229,4.816664,73.61769,,3.7314,1.6288,,,,,0.2679959264619178,0.6139489194499017,,,
1987-07-01,9162.024,5875.641,3.926940639269394,4.178766144,58.2421,,,,71.2751104410357,,,7.8,,246369.6,,4.410256,4.991026000000001,74.98683,,3.7314,1.609,,,,,0.2679959264619178,0.6215040397762586,,,
1987-08-01,,,4.2883211678832245,4.293051178,58.6784,,,,,,,8.2,,,,4.396728,4.935196,74.7762,,3.7314,1.5996,,,,,0.2679959264619178,0.6251562890722681,,,
1987-09-01,,,4.2727272727272725,4.305931321,58.9088,,,,,,,7.7,,,,4.170906,4.97732,74.2496,,3.7314,1.6446,,,,,0.2679959264619178,0.6080505898090721,,,
1987-10-01,9319.332,5888.065,4.355716878402904,4.356981982,59.7008,,,,71.9863058055861,,,7.5,,249159.6,,4.467005,5.24886,75.19747,,3.7314,1.662,,,,,0.2679959264619178,0.601684717208183,,,
1987-11-01,,,4.528985507246386,4.329616016,59.9956,,,,,,,8.3,,,,4.128902,4.703931,75.09215999999999,,3.7314,1.7754,,,,,0.2679959264619178,0.5632533513574406,,,
1987-12-01,,,4.332129963898912,4.291749243,60.3246,,,,,,,8.9,,,,3.714859,4.1765300000000005,75.72407,,3.7314,1.8288,,,,,0.2679959264619178,0.5468066491688539,,,
1988-01-01,9367.502,5992.101,4.129263913824044,4.373233966,60.309,,,,72.6054267702616,3142030.0,3626318.00943385,9.31,,253600.0,,3.3,3.869189,76.4613,,3.7314,1.8009,,,,,0.2679959264619178,0.5552779165972569,,,
1988-02-01,,,3.9355992844364973,4.375628463,60.6122,,,,,,,10.4,,,,3.107825,4.012479,75.51343,,3.7314,1.7582,,,,,0.2679959264619178,0.5687635081333182,,,
1988-03-01,,,3.832442067736186,4.440936865,60.7452,,,,,,,11.3,,,,3.340723,4.194005000000001,76.77725,,3.7314,1.833,,,,,0.2679959264619178,0.5455537370430987,,,
1988-04-01,9490.594,6036.355,3.9929015084294583,4.37597416,61.108,,,,73.1261233764504,,,12.2,,255094.9,,3.4207300000000003,4.656189,76.14534,,3.7314,1.8782,,,,,0.2679959264619178,0.5324246619103397,,,
1988-05-01,,,3.9823008849557473,4.432652625,60.9843,,,,,,,14.19,,,,3.751535,4.964485,76.98789000000001,,3.7314,1.8695,,,,,0.2679959264619178,0.5349023803155925,,,
1988-06-01,,,3.96475770925111,4.673118224,61.1615,,,,,,,16.31,,,,4.183834,5.177514,77.30384000000001,,3.7314,1.7768,,,,,0.2679959264619178,0.5628095452498875,,,
1988-07-01,9546.206,6090.001,4.130052724077338,4.70086963,61.171,,,,74.3421404506593,,,19.21,,258980.1,,4.286175,5.279101,77.72511999999999,,3.7314,1.7051,,,,,0.2679959264619178,0.5864758665180928,,,
1988-08-01,,,4.111986001749779,4.674256215,61.4771,,,,,,,23.6,,,,4.626928,6.380914,78.46235,,3.7314,1.6965,,,,,0.2679959264619178,0.5894488653109343,,,
1988-09-01,,,4.184829991281602,4.721200474,61.2785,,,,,,,26.4,,,,4.750591,6.449585,79.3049,,3.7314,1.684,,,,,0.2679959264619178,0.5938242280285035,,,
1988-10-01,9673.405,6159.246,4.260869565217407,4.607887381,61.5488,,,,74.973961332559,,,27.09,,261210.3,,4.883744999999999,7.208661,78.35703000000001,,3.7314,1.7388,,,,,0.2679959264619178,0.5751092707614447,,,
1988-11-01,,,4.246100519930662,4.742903047,61.7049,,,,,,,26.81,,,,5.01561,7.129676,79.19958000000001,,3.7314,1.8085,,,,,0.2679959264619178,0.552944429084877,,,
1988-12-01,,,4.4117647058823595,4.790034691,61.9851,,,,,,,27.9,,,,5.117271,7.609944,78.67299,,3.7314,1.8258,,,,,0.2679959264619178,0.5477051155657794,,,
1989-01-01,9771.725,6187.816,4.482758620689653,4.748201473,62.1677,,,,75.9105802278374,3153668.75,3828463.11157206,27.39,,262361.5,,5.7,8.37851,79.09425999999999,,3.7314,1.7737,,,,,0.2679959264619178,0.5637932006540001,,,
1989-02-01,,,4.647160068846801,4.783533199,61.8916,,,,,,,28.4,,,,5.8,8.759021,79.3049,,3.7314,1.7534,,,,,0.2679959264619178,0.5703205201323144,,,
1989-03-01,,,4.892703862660941,4.750414948,62.0508,,,,,,,27.1,,,,5.9,8.729165,78.25171,,3.7314,1.7134,,,,,0.2679959264619178,0.5836348780203104,,,
1989-04-01,9846.293,6216.695,5.034129692832767,4.618488017,62.0289,,,,76.7201999508747,,,26.6,,264088.9,,5.6,8.622486,80.25276,,3.7314,1.7008,,,,,0.2679959264619178,0.5879586077140169,,,
1989-05-01,,,5.276595744680845,4.742747969,61.6871,,,,,,,24.91,,,,5.9,8.797702000000001,78.14639,,3.7314,1.6307,,,,,0.2679959264619178,0.6132335806708775,,,
1989-06-01,,,5.1694915254237195,4.74510822,61.6857,,,,,,,22.79,,,,5.8,8.777054,78.14639,,3.7314,1.553,,,,,0.2679959264619178,0.6439150032195751,,,
1989-07-01,9919.228,6276.877,5.063291139240511,4.893807623,61.0896,,,,77.8727174389631,,,19.4,,264352.0,,5.7,8.824701,78.35703000000001,,3.7314,1.6268,,,,,0.2679959264619178,0.6147037128104254,,,
1989-08-01,,,4.621848739495804,4.854148787,61.6847,,,,,,,15.3,,,,5.5,7.733588,80.04213,,3.7314,1.5947,,,,,0.2679959264619178,0.6270771932024832,,,
1989-09-01,,,4.435146443514637,4.669891213,61.4794,,,,,,,11.49,,,,5.7,7.946888,79.62085,,3.7314,1.5715,,,,,0.2679959264619178,0.6363347120585429,,,
1989-10-01,9938.767,6304.157,4.587155963302747,4.802933382,61.4014,,,,78.3362644176432,,,8.61,,264603.4,,5.8,7.401089999999999,79.19958000000001,,3.7314,1.5874,,,,,0.2679959264619178,0.6299609424215699,,,
1989-11-01,,,4.655029093931851,4.797568826,61.6081,,,,,,,7.4,,,,5.7,7.894082000000001,79.83149,,3.7314,1.5726,,,,,0.2679959264619178,0.6358896095637797,,,
1989-12-01,,,4.639602319801162,4.829006386,61.9588,,,,,,,6.6,,,,5.8,7.869772999999999,79.72617,,4.1825,1.5965,,,,,0.2390914524805738,0.6263701847792045,,,
1990-01-01,10047.386,6357.213,5.198019801980203,4.905908309,61.6352,,,,79.415757381693,3165272.0,4051051.66954279,4.3,,266386.8,,5.9,7.608888,78.88362,,4.7339,1.6512,,,,,0.21124231606075328,0.6056201550387597,,,
1990-02-01,,,5.263157894736836,4.91755923,62.1951,,,,,,,4.4,,,,6.3,7.449975999999999,78.35703000000001,,4.7339,1.6961,,,,,0.21124231606075328,0.5895878780732269,,,
